% Artificial instance
% algorithm type = best
1 2.511886431509580e+02 2.511886431509580e+02 default 15 15
2 1.584893192461114e+02 1.584893192461114e+02 default 15 15
3 1.000000000000000e+02 1.000000000000000e+02 default 15 15
5 6.309573444801933e+01 6.309573444801933e+01 default 15 15
7 3.981071705534973e+01 3.981071705534973e+01 2L 15 15
11 2.511886431509580e+01 2.511886431509580e+01 default 15 15
18 1.584893192461113e+01 1.584893192461113e+01 default 15 15
24 1.000000000000000e+01 1.000000000000000e+01 default 15 15
32 6.309573444801933e+00 6.309573444801933e+00 default 15 15
67 3.981071705534972e+00 3.981071705534972e+00 default 15 15
160 2.511886431509580e+00 2.511886431509580e+00 8L 15 15
209 1.584893192461114e+00 1.584893192461114e+00 8L 15 15
259 1.000000000000000e+00 1.000000000000000e+00 8L 15 15
344 6.309573444801932e-01 6.309573444801932e-01 8L 15 15
376 3.981071705534972e-01 3.981071705534972e-01 8L 15 15
451 2.511886431509580e-01 2.511886431509580e-01 8L 15 15
528 1.584893192461113e-01 1.584893192461113e-01 8L 15 15
565 1.000000000000000e-01 1.000000000000000e-01 8L 15 15
622 6.309573444801933e-02 6.309573444801933e-02 8L 15 15
667 3.981071705534973e-02 3.981071705534973e-02 8L 15 15
703 2.511886431509579e-02 2.511886431509579e-02 8L 15 15
844 1.584893192461113e-02 1.584893192461113e-02 8L 15 15
886 1.000000000000000e-02 1.000000000000000e-02 8L 15 15
973 6.309573444801930e-03 6.309573444801930e-03 8L 15 15
992 3.981071705534973e-03 3.981071705534973e-03 8L 15 15
1072 2.511886431509579e-03 2.511886431509579e-03 8L 15 15
1081 1.584893192461114e-03 1.584893192461114e-03 8L 15 15
1145 1.000000000000000e-03 1.000000000000000e-03 4L 15 15
1202 6.309573444801930e-04 6.309573444801930e-04 4L 15 15
1210 3.981071705534974e-04 3.981071705534974e-04 4L 15 15
1255 2.511886431509580e-04 2.511886431509580e-04 4L 15 15
1363 1.584893192461114e-04 1.584893192461114e-04 4L 15 15
1371 1.000000000000000e-04 1.000000000000000e-04 4L 15 15
1384 6.309573444801929e-05 6.309573444801929e-05 4L 15 15
1393 3.981071705534969e-05 3.981071705534969e-05 4L 15 15
1545 2.511886431509582e-05 2.511886431509582e-05 4L 15 15
1565 1.584893192461114e-05 1.584893192461114e-05 4L 15 15
1584 1.000000000000000e-05 1.000000000000000e-05 4L 15 15
1604 6.309573444801930e-06 6.309573444801930e-06 4L 15 15
1615 3.981071705534969e-06 3.981071705534969e-06 4L 15 15
1643 2.511886431509582e-06 2.511886431509582e-06 4L 15 15
1668 1.584893192461114e-06 1.584893192461114e-06 4L 15 15
1715 1.000000000000000e-06 1.000000000000000e-06 4L 15 15
1779 6.309573444801930e-07 6.309573444801930e-07 4L 15 15
1858 3.981071705534969e-07 3.981071705534969e-07 4L 15 15
2392 2.511886431509582e-07 2.511886431509582e-07 2L 15 15
2419 1.584893192461114e-07 1.584893192461114e-07 2L 15 15
2446 1.000000000000000e-07 1.000000000000000e-07 2L 15 15
2455 6.309573444801930e-08 6.309573444801930e-08 2L 15 15
2468 3.981071705534969e-08 3.981071705534969e-08 2L 15 15
2486 2.511886431509582e-08 2.511886431509582e-08 2L 15 15
2498 1.584893192461114e-08 1.584893192461114e-08 2L 15 15
2707 1.000000000000000e-08 1.000000000000000e-08 2L 15 15
