algorithm,expected_evals,dim
SLSQP,392.5736013071895,10
default,3569.3028670718954,10
SLSQP,173.51997339767323,10
SLSQP,172.1530335259011,10
4L,6279.982548524462,10
SLSQP,135.73276668093524,10
SLSQP,135.28637681449231,10
SLSQP,134.89356943090667,10
SLSQP,134.54550230509594,10
SLSQP,134.23523313115885,10
SLSQP,133.95718879382017,10
SLSQP,133.70682135425918,10
SLSQP,133.48037260701537,10
SLSQP,133.27470615034463,10
SLSQP,133.0871836398713,10
SLSQP,132.91557115702912,10
SLSQP,132.75796680660392,10
L-BFGS-B,189.88136598995072,10
L-BFGS-B,189.59473243525542,10
8L,9120.225228793986,10
SLSQP,109.57054535143259,10
L-BFGS-B,154.52511292834367,10
L-BFGS-B,154.3151808561798,10
L-BFGS-B,154.11849707183313,10
L-BFGS-B,153.93383737271006,10
L-BFGS-B,153.76011681311965,10
L-BFGS-B,153.5963721313404,10
L-BFGS-B,153.4417465370261,10
L-BFGS-B,153.29547652430887,10
L-BFGS-B,153.15688042654972,10
L-BFGS-B,153.02534847092312,10
L-BFGS-B,152.90033412645548,10
L-BFGS-B,152.7813465689992,10
L-BFGS-B,152.66794411187678,10
L-BFGS-B,152.5597284723538,10
L-BFGS-B,152.45633976232253,10
L-BFGS-B,152.35745210711443,10
L-BFGS-B,152.26276980963223,10
L-BFGS-B,152.17202398835033,10
L-BFGS-B,152.08496962746875,10
L-BFGS-B,152.00138298586245,10
L-BFGS-B,151.92105931865055,10
32L,18791.88321899226,10
L-BFGS-B,126.839986417751,10
L-BFGS-B,126.77067757997973,10
L-BFGS-B,126.70383178420543,10
L-BFGS-B,126.63932573401827,10
L-BFGS-B,126.57704487155537,10
L-BFGS-B,126.51688255593686,10
L-BFGS-B,126.45873933315002,10
L-BFGS-B,126.40252228625708,10
L-BFGS-B,126.34814445622662,10
L-BFGS-B,126.2955243249206,10
L-BFGS-B,126.24458535284295,10
L-BFGS-B,126.19525556518539,10
L-BFGS-B,126.14746718051671,10
L-BFGS-B,126.10115627716591,10
L-BFGS-B,126.05626249296266,10
L-BFGS-B,126.01272875453255,10
L-BFGS-B,125.97050103281069,10
L-BFGS-B,125.92952812184292,10
L-BFGS-B,125.88976143829767,10
L-BFGS-B,125.85115483942221,10
L-BFGS-B,125.81366445744672,10
L-BFGS-B,125.77724854867583,10
L-BFGS-B,125.74186735571531,10
L-BFGS-B,125.70748298146165,10
L-BFGS-B,125.67405927364238,10
L-BFGS-B,125.64156171883302,10
L-BFGS-B,125.60995734499988,10
L-BFGS-B,125.57921463172516,10
L-BFGS-B,125.54930342736439,10
L-BFGS-B,125.52019487247078,10
L-BFGS-B,125.49186132889302,10
L-BFGS-B,125.4642763140182,10
L-BFGS-B,125.43741443968813,10
L-BFGS-B,125.41125135536757,10
L-BFGS-B,125.38576369518789,10
L-BFGS-B,125.36092902852761,10
L-BFGS-B,125.33672581382754,10
L-BFGS-B,125.3131333553682,10
L-BFGS-B,125.29013176276446,10
L-BFGS-B,125.26770191295732,10
L-BFGS-B,125.2458254145036,10
L-BFGS-B,125.22448457398391,10
L-BFGS-B,125.20366236436647,10
L-BFGS-B,125.18334239517928,10
32L,16855.53451258802,10
L-BFGS-B,116.2084603187389,10
L-BFGS-B,116.1899469977288,10
L-BFGS-B,116.17187267733424,10
L-BFGS-B,116.15422387384625,10
L-BFGS-B,116.1369875829211,10
L-BFGS-B,116.12015126014259,10
L-BFGS-B,116.10370280252272,10
L-BFGS-B,116.08763053088302,10
L-BFGS-B,116.07192317306395,10
L-BFGS-B,116.05656984791382,10
L-BFGS-B,116.04156005001197,10
L-BFGS-B,116.02688363508442,10
L-BFGS-B,116.01253080607364,10
L-BFGS-B,115.99849209982611,10
L-BFGS-B,115.9847583743645,10
L-BFGS-B,115.9713207967134,10
L-BFGS-B,115.95817083124919,10
L-BFGS-B,115.94530022854751,10
L-BFGS-B,115.93270101470254,10
L-BFGS-B,115.92036548109472,10
L-BFGS-B,115.90828617458425,10
L-BFGS-B,115.89645588811018,10
L-BFGS-B,115.88486765167485,10
L-BFGS-B,115.87351472369568,10
L-BFGS-B,115.8623905827069,10
L-BFGS-B,115.85148891939474,10
L-BFGS-B,115.84080362895101,10
L-BFGS-B,115.83032880373013,10
L-BFGS-B,115.82005872619627,10
L-BFGS-B,115.80998786214734,10
L-BFGS-B,115.80011085420371,10
L-BFGS-B,115.79042251554993,10
L-BFGS-B,115.78091782391854,10
L-BFGS-B,115.77159191580532,10
L-BFGS-B,115.76244008090619,10
L-BFGS-B,115.7534577567664,10
L-BFGS-B,115.74464052363288,10
L-BFGS-B,115.7359840995013,10
L-BFGS-B,115.72748433534967,10
L-BFGS-B,115.71913721055094,10
L-BFGS-B,115.71093882845709,10
L-BFGS-B,115.7028854121476,10
L-BFGS-B,115.69497330033592,10
L-BFGS-B,115.68719894342728,10
L-BFGS-B,115.67955889972185,10
32L,15982.47792692118,10
L-BFGS-B,110.58003063889399,10
L-BFGS-B,110.57296829964227,10
L-BFGS-B,110.56602657943793,10
L-BFGS-B,110.55920252156054,10
L-BFGS-B,110.552493257474,10
L-BFGS-B,110.5458960038893,10
L-BFGS-B,110.5394080599324,10
L-BFGS-B,110.53302680441357,10
L-BFGS-B,110.5267496931937,10
L-BFGS-B,110.52057425664457,10
L-BFGS-B,110.5144980971992,10
L-BFGS-B,110.5085188869888,10
L-BFGS-B,110.50263436556337,10
L-BFGS-B,110.4968423376925,10
L-BFGS-B,110.49114067124354,10
L-BFGS-B,110.48552729513428,10
L-BFGS-B,110.48000019735713,10
L-BFGS-B,110.47455742307277,10
Powell,150.64880975558953,10
L-BFGS-B,110.44759822264209,10
L-BFGS-B,110.4423345618792,10
L-BFGS-B,110.43714907794464,10
L-BFGS-B,110.43204004994952,10
Powell,150.5607129005477,10
L-BFGS-B,110.4065597588516,10
L-BFGS-B,110.40161161946692,10
L-BFGS-B,110.39673456641583,10
Powell,150.48921996624983,10
L-BFGS-B,110.37254270507108,10
L-BFGS-B,110.36781413069254,10
L-BFGS-B,110.36315179722939,10
64L,25386.40492053644,10
L-BFGS-B,104.72263668940259,10
L-BFGS-B,104.71829701094607,10
L-BFGS-B,104.7140176772258,10
L-BFGS-B,104.70979744271675,10
L-BFGS-B,104.70563509473547,10
Powell,144.5696601667746,10
L-BFGS-B,104.68490767539147,10
L-BFGS-B,104.680864957666,10
L-BFGS-B,104.67687639809414,10
L-BFGS-B,104.6729409162144,10
Powell,144.50188910744347,10
L-BFGS-B,104.65323180676094,10
L-BFGS-B,104.649405285291,10
L-BFGS-B,104.64562854018571,10
L-BFGS-B,104.64190060561492,10
Powell,144.4375829524368,10
L-BFGS-B,104.6231418647884,10
L-BFGS-B,104.61951353734035,10
L-BFGS-B,104.61593108611578,10
Powell,144.3849826110862,10
L-BFGS-B,104.59801284632262,10
L-BFGS-B,104.59452358580691,10
16L,9596.93586405986,10
L-BFGS-B,100.85927783605372,10
L-BFGS-B,100.8559710947107,10
L-BFGS-B,100.85270514128312,10
L-BFGS-B,100.84947922787865,10
Powell,141.389480205396,10
L-BFGS-B,100.83323046209622,10
L-BFGS-B,100.83008540489004,10
64L,23386.1774394094,10
L-BFGS-B,96.53145302778267,10
L-BFGS-B,96.52847409040562,10
L-BFGS-B,96.52553082892383,10
Powell,136.98574017032232,10
