algorithm,expected_evals,dim
SLSQP,70.14064052287581,3
2L,855.7772364738562,3
SLSQP,20.086501044418302,3
SLSQP,19.768345447164943,3
SLSQP,19.510952316003497,3
Powell,50.220587356105256,3
SLSQP,18.78226283331444,3
4L,765.5307615984121,3
Powell,34.295415119841714,3
Powell,33.56664903943709,3
Powell,32.91103369710822,3
Powell,32.31156148680707,3
Powell,31.75838115102499,3
Powell,31.244834802903195,3
Powell,30.765997819555928,3
Powell,30.318032594380984,3
Powell,29.897845362068537,3
Powell,29.502878019117983,3
Powell,29.13097138222221,3
Powell,28.780271204345233,3
Powell,28.449161700572308,3
Powell,28.136217497787538,3
8L,727.1680480157645,3
Powell,20.773679914439622,3
Powell,20.55220372334169,3
Powell,20.342316519391513,3
Powell,20.14331600542082,3
Powell,19.954554718189513,3
Powell,19.77543348420387,3
Powell,19.605396086872435,3
Powell,19.443924847223915,3
Powell,19.29053690541587,3
Powell,19.144781048988985,3
8L,502.21334168574117,3
Powell,15.666410056792849,3
Powell,15.554776789893289,3
Powell,15.448639609980123,3
Powell,15.34770793483256,3
Powell,15.251707784321793,3
Powell,15.160380674024884,3
Powell,15.07348260707126,3
Powell,14.990783151390401,3
Powell,14.912064591894737,3
8L,388.4761471370054,3
Powell,13.010779463809818,3
Powell,12.94732642654018,3
Powell,12.88691664512075,3
Powell,12.829396060384244,3
Powell,12.774618683788324,3
Powell,12.722446150259762,3
Powell,12.67274729879031,3
8L,326.3823628875726,3
Powell,11.522677870096613,3
Powell,11.481109943200275,3
Powell,11.4415060232682,3
Powell,11.403768608216689,3
Powell,11.367805140408588,3
Powell,11.333527749032994,3
Powell,11.300853006589438,3
16L,525.7615801797343,3
Powell,10.160818863787025,3
Powell,10.133212428803555,3
Powell,10.106892088452334,3
Powell,10.081794914259131,3
Powell,10.057861103870133,3
Powell,10.035033823446781,3
Powell,10.013259058186474,3
Powell,9.992485470531943,3
Powell,9.972664265657873,3
Powell,9.953749063847196,3
Powell,9.935695779391787,3
Powell,9.918462505673107,3
16L,464.49209001433564,3
Powell,9.288591817318661,3
Powell,9.27353658588289,3
Powell,9.259160396590516,3
Powell,9.245430455955761,3
Powell,9.2323155770303,3
Powell,9.219786099958418,3
Powell,9.20781381650142,3
Powell,9.196371898330076,3
Powell,9.185434828894293,3
Powell,9.17497833868921,3
Powell,9.164979343746172,3
16L,430.479992213904,3
Powell,8.77745268180751,3
Powell,8.768559066685498,3
Powell,8.760050898774232,3
Powell,8.75190975335999,3
Powell,8.744118101083524,3
Powell,8.7366592640744,3
Powell,8.72951737424994,3
Powell,8.722677333670989,3
Powell,8.716124776852316,3
Powell,8.70984603493061,3
Powell,8.703828101597763,3
16L,409.4420785305325,3
Powell,8.445691755649754,3
Powell,8.440283985773165,3
Powell,8.435098119961554,3
Powell,8.430123663042666,3
Powell,8.42535062675989,3
Powell,8.420769505084104,3
Powell,8.416371250735597,3
Powell,8.41214725285637,3
Powell,8.40808931577612,3
16L,395.7243330091438,3
Powell,8.222994135423491,3
Powell,8.219325729374825,3
Powell,8.215799411077754,3
Powell,8.212408527393984,3
default,54.24651050494682,3
Powell,8.172476689100064,3
default,53.98383057255779,3
Powell,8.134297656204094,3
default,53.73261386399104,3
default,53.50899689325718,3
Powell,8.065235795982385,3
default,53.2767033126421,3
default,53.068995468419686,3
Powell,8.000986625025245,3
default,52.85251690721573,3
default,52.65807693790003,3
default,52.46931715559248,3
Powell,7.913098314425272,3
default,52.27161519009214,3
default,52.09311202859977,3
16L,369.5402507198149,3
Powell,7.742925061289932,3
Powell,7.740877624207873,3
default,51.122059991271534,3
default,50.96316095683287,3
default,50.807477411867055,3
Powell,7.6681634400123215,3
default,50.643362191482744,3
default,50.493605289016706,3
default,50.34643761409445,3
default,50.201689809153265,3
default,50.059207564630285,3
default,49.91885010632744,3
default,49.780488845319375,3
default,49.64400617221681,3
Powell,7.4947253026546745,3
default,49.499374863501664,3
default,49.366440849631964,3
default,49.2350844277875,3
default,49.10522249438291,3
default,48.97677853315147,3
default,48.849681997766766,3
default,48.723867757925,3
default,48.59927560200341,3
default,48.47584979018271,3
default,48.35353865260522,3
default,48.23229422774581,3
default,48.11207193670859,3
default,47.99283028963793,3
default,47.87453062085274,3
default,47.757136849686596,3
