algorithm,expected_evals,dim
SLSQP,40.04932516339869,2
Powell,54.06306849019607,2
SLSQP,20.039493493535947,2
Powell,43.8943639891271,2
2L,334.6751022640849,2
Powell,21.352986658705923,2
Powell,19.84255526859171,2
Powell,18.709684992529024,2
Powell,17.813860658860758,2
4L,250.38597263723022,2
Powell,10.610761829462424,2
Powell,10.304755013074297,2
Powell,10.04854815928522,2
Powell,9.83026804739391,2
Powell,9.641633591847429,2
Powell,9.476584243246949,2
2L,94.90429583719138,2
Powell,7.9249177093882075,2
Powell,7.832804919708731,2
2L,78.33315436037732,2
Powell,6.931749592781225,2
2L,68.74263029081459,2
Powell,6.346566658379954,2
Powell,6.304207416106635,2
2L,62.006502581940275,2
Powell,5.908741236093604,2
Powell,5.877200055214432,2
2L,57.35045033061253,2
Powell,5.593455712487455,2
Powell,5.56795368337411,2
Powell,5.543303129239811,2
2L,53.73391778917128,2
Powell,5.331878552036305,2
Powell,5.31043903801765,2
Powell,5.28943892326863,2
Powell,5.268825361507704,2
Powell,5.248555733537603,2
Powell,5.228595425244243,2
Powell,5.208916108801953,2
Powell,5.18949441047759,2
Powell,5.1703108760025955,2
Powell,5.151349165366998,2
2L,49.706390259533315,2
Powell,4.994950230671368,2
Powell,4.9772661102815015,2
Powell,4.95973997535262,2
Powell,4.942364702170931,2
Powell,4.925134026959657,2
Powell,4.908042390876071,2
Powell,4.891084817415077,2
Powell,4.874256815053854,2
Powell,4.857554299597147,2
Powell,4.840973531933936,2
Powell,4.824511067880337,2
Powell,4.8081637175273135,2
Powell,4.791928512085983,2
Powell,4.775802676667094,2
Powell,4.759783607774703,2
Powell,4.743868854560035,2
Powell,4.72805610308795,2
Powell,4.712343163028611,2
Powell,4.696727956311708,2
Powell,4.681208507377663,2
Powell,4.665782934736086,2
Powell,4.650449443601019,2
Powell,4.6352063194189785,2
Powell,4.6200519221422836,2
Powell,4.604984681128833,2
Powell,4.590003090572259,2
Powell,4.575105705384273,2
Powell,4.560291137465237,2
Powell,4.545558052310481,2
Powell,4.530905165908815,2
Powell,4.516331241897108,2
Powell,4.501835088940575,2
Powell,4.487415558313294,2
Powell,4.473071541657219,2
Powell,4.458801968901241,2
Powell,4.444605806324362,2
Powell,4.430482054749255,2
Powell,4.416429747854265,2
Powell,4.402447950593341,2
Powell,4.388535757714766,2
Powell,4.374692292370455,2
Powell,4.360916704808669,2
Powell,4.347208171143597,2
Powell,4.333565892196068,2
Powell,4.319989092400123,2
Powell,4.306477018770749,2
Powell,4.293028939928475,2
Powell,4.279644145176931,2
Powell,4.266321943629813,2
Powell,4.253061663383976,2
Powell,4.2398626507356925,2
Powell,4.226724269437307,2
Powell,4.213645899991754,2
