log10_target,solved,evaluations,fid,iid,rep,dim,param_id
2.0,True,165,12,101,1,2,16L
1.8,True,196,12,101,1,2,16L
1.6,True,196,12,101,1,2,16L
1.4,True,196,12,101,1,2,16L
1.2,True,212,12,101,1,2,16L
1.0,True,300,12,101,1,2,16L
0.8,True,302,12,101,1,2,16L
0.6,True,310,12,101,1,2,16L
0.4,True,434,12,101,1,2,16L
0.2,True,492,12,101,1,2,16L
0.0,True,492,12,101,1,2,16L
-0.2,True,643,12,101,1,2,16L
-0.4,True,643,12,101,1,2,16L
-0.6,True,687,12,101,1,2,16L
-0.8,True,706,12,101,1,2,16L
-1.0,True,778,12,101,1,2,16L
-1.2,True,778,12,101,1,2,16L
-1.4,True,778,12,101,1,2,16L
-1.6,True,778,12,101,1,2,16L
-1.8,True,885,12,101,1,2,16L
-2.0,True,885,12,101,1,2,16L
-2.2,True,885,12,101,1,2,16L
-2.4,True,1127,12,101,1,2,16L
-2.6,True,1127,12,101,1,2,16L
-2.8,True,1127,12,101,1,2,16L
-3.0,True,1310,12,101,1,2,16L
-3.2,True,1347,12,101,1,2,16L
-3.4,True,1484,12,101,1,2,16L
-3.6,True,1484,12,101,1,2,16L
-3.8,True,1484,12,101,1,2,16L
-4.0,True,1598,12,101,1,2,16L
-4.2,True,1598,12,101,1,2,16L
-4.4,True,1598,12,101,1,2,16L
-4.6,True,1598,12,101,1,2,16L
-4.8,True,1598,12,101,1,2,16L
-5.0,True,1598,12,101,1,2,16L
-5.2,True,1598,12,101,1,2,16L
-5.4,True,1598,12,101,1,2,16L
-5.6,True,1598,12,101,1,2,16L
-5.8,True,1598,12,101,1,2,16L
-6.0,True,1598,12,101,1,2,16L
-6.2,True,1598,12,101,1,2,16L
-6.4,True,1598,12,101,1,2,16L
-6.6,True,1598,12,101,1,2,16L
-6.8,True,2166,12,101,1,2,16L
-7.0,True,2166,12,101,1,2,16L
-7.2,True,2166,12,101,1,2,16L
-7.4,True,2202,12,101,1,2,16L
-7.6,True,2497,12,101,1,2,16L
-7.8,True,2497,12,101,1,2,16L
-8.0,True,2497,12,101,1,2,16L
2.0,True,329,12,102,1,2,16L
1.8,True,329,12,102,1,2,16L
1.6,True,425,12,102,1,2,16L
1.4,True,485,12,102,1,2,16L
1.2,True,485,12,102,1,2,16L
1.0,True,485,12,102,1,2,16L
0.8,True,500,12,102,1,2,16L
0.6,True,500,12,102,1,2,16L
0.4,True,766,12,102,1,2,16L
0.2,True,766,12,102,1,2,16L
0.0,True,766,12,102,1,2,16L
-0.2,True,788,12,102,1,2,16L
-0.4,True,866,12,102,1,2,16L
-0.6,True,866,12,102,1,2,16L
-0.8,True,867,12,102,1,2,16L
-1.0,True,908,12,102,1,2,16L
-1.2,True,908,12,102,1,2,16L
-1.4,True,908,12,102,1,2,16L
-1.6,True,908,12,102,1,2,16L
-1.8,True,908,12,102,1,2,16L
-2.0,True,908,12,102,1,2,16L
-2.2,True,908,12,102,1,2,16L
-2.4,True,908,12,102,1,2,16L
-2.6,True,908,12,102,1,2,16L
-2.8,True,908,12,102,1,2,16L
-3.0,True,1028,12,102,1,2,16L
-3.2,True,1028,12,102,1,2,16L
-3.4,True,1418,12,102,1,2,16L
-3.6,True,1418,12,102,1,2,16L
-3.8,True,1592,12,102,1,2,16L
-4.0,True,1631,12,102,1,2,16L
-4.2,True,1631,12,102,1,2,16L
-4.4,True,1714,12,102,1,2,16L
-4.6,True,1856,12,102,1,2,16L
-4.8,True,1972,12,102,1,2,16L
-5.0,True,2089,12,102,1,2,16L
-5.2,True,2089,12,102,1,2,16L
-5.4,True,2105,12,102,1,2,16L
-5.6,True,2105,12,102,1,2,16L
-5.8,True,2105,12,102,1,2,16L
-6.0,True,2223,12,102,1,2,16L
-6.2,True,2288,12,102,1,2,16L
-6.4,True,2288,12,102,1,2,16L
-6.6,True,2288,12,102,1,2,16L
-6.8,True,2288,12,102,1,2,16L
-7.0,True,2288,12,102,1,2,16L
-7.2,True,2288,12,102,1,2,16L
-7.4,True,2288,12,102,1,2,16L
-7.6,True,2288,12,102,1,2,16L
-7.8,True,2288,12,102,1,2,16L
-8.0,True,2288,12,102,1,2,16L
2.0,True,323,12,103,1,2,16L
1.8,True,323,12,103,1,2,16L
1.6,True,323,12,103,1,2,16L
1.4,True,578,12,103,1,2,16L
1.2,True,578,12,103,1,2,16L
1.0,True,581,12,103,1,2,16L
0.8,True,581,12,103,1,2,16L
0.6,True,581,12,103,1,2,16L
0.4,True,844,12,103,1,2,16L
0.2,True,844,12,103,1,2,16L
0.0,True,883,12,103,1,2,16L
-0.2,True,883,12,103,1,2,16L
-0.4,True,990,12,103,1,2,16L
-0.6,True,990,12,103,1,2,16L
-0.8,True,990,12,103,1,2,16L
-1.0,True,1021,12,103,1,2,16L
-1.2,True,1277,12,103,1,2,16L
-1.4,True,1277,12,103,1,2,16L
-1.6,True,1324,12,103,1,2,16L
-1.8,True,1357,12,103,1,2,16L
-2.0,True,1357,12,103,1,2,16L
-2.2,True,1535,12,103,1,2,16L
-2.4,True,1543,12,103,1,2,16L
-2.6,True,1543,12,103,1,2,16L
-2.8,True,1543,12,103,1,2,16L
-3.0,True,1543,12,103,1,2,16L
-3.2,True,1543,12,103,1,2,16L
-3.4,True,1543,12,103,1,2,16L
-3.6,True,1543,12,103,1,2,16L
-3.8,True,1543,12,103,1,2,16L
-4.0,True,1605,12,103,1,2,16L
-4.2,True,1605,12,103,1,2,16L
-4.4,True,1605,12,103,1,2,16L
-4.6,True,1605,12,103,1,2,16L
-4.8,True,1605,12,103,1,2,16L
-5.0,True,2022,12,103,1,2,16L
-5.2,True,2022,12,103,1,2,16L
-5.4,True,2438,12,103,1,2,16L
-5.6,True,2501,12,103,1,2,16L
-5.8,True,2501,12,103,1,2,16L
-6.0,True,2501,12,103,1,2,16L
-6.2,True,2501,12,103,1,2,16L
-6.4,True,2501,12,103,1,2,16L
-6.6,True,2501,12,103,1,2,16L
-6.8,True,2594,12,103,1,2,16L
-7.0,True,2594,12,103,1,2,16L
-7.2,True,2729,12,103,1,2,16L
-7.4,True,2966,12,103,1,2,16L
-7.6,True,2966,12,103,1,2,16L
-7.8,True,3048,12,103,1,2,16L
-8.0,True,3048,12,103,1,2,16L
2.0,True,45,12,104,1,2,16L
1.8,True,45,12,104,1,2,16L
1.6,True,45,12,104,1,2,16L
1.4,True,45,12,104,1,2,16L
1.2,True,45,12,104,1,2,16L
1.0,True,45,12,104,1,2,16L
0.8,True,45,12,104,1,2,16L
0.6,True,560,12,104,1,2,16L
0.4,True,616,12,104,1,2,16L
0.2,True,744,12,104,1,2,16L
0.0,True,744,12,104,1,2,16L
-0.2,True,971,12,104,1,2,16L
-0.4,True,971,12,104,1,2,16L
-0.6,True,971,12,104,1,2,16L
-0.8,True,971,12,104,1,2,16L
-1.0,True,971,12,104,1,2,16L
-1.2,True,1140,12,104,1,2,16L
-1.4,True,1198,12,104,1,2,16L
-1.6,True,1198,12,104,1,2,16L
-1.8,True,1198,12,104,1,2,16L
-2.0,True,1292,12,104,1,2,16L
-2.2,True,1292,12,104,1,2,16L
-2.4,True,1292,12,104,1,2,16L
-2.6,True,1363,12,104,1,2,16L
-2.8,True,1363,12,104,1,2,16L
-3.0,True,1363,12,104,1,2,16L
-3.2,True,1363,12,104,1,2,16L
-3.4,True,1363,12,104,1,2,16L
-3.6,True,1363,12,104,1,2,16L
-3.8,True,1363,12,104,1,2,16L
-4.0,True,1363,12,104,1,2,16L
-4.2,True,1363,12,104,1,2,16L
-4.4,True,1988,12,104,1,2,16L
-4.6,True,1988,12,104,1,2,16L
-4.8,True,1988,12,104,1,2,16L
-5.0,True,2125,12,104,1,2,16L
-5.2,True,2279,12,104,1,2,16L
-5.4,True,2279,12,104,1,2,16L
-5.6,True,2348,12,104,1,2,16L
-5.8,True,2455,12,104,1,2,16L
-6.0,True,2455,12,104,1,2,16L
-6.2,True,2455,12,104,1,2,16L
-6.4,True,2558,12,104,1,2,16L
-6.6,True,2663,12,104,1,2,16L
-6.8,True,2674,12,104,1,2,16L
-7.0,True,2674,12,104,1,2,16L
-7.2,True,2674,12,104,1,2,16L
-7.4,True,2674,12,104,1,2,16L
-7.6,True,2674,12,104,1,2,16L
-7.8,True,2674,12,104,1,2,16L
-8.0,True,2674,12,104,1,2,16L
2.0,True,2,12,105,1,2,16L
1.8,True,2,12,105,1,2,16L
1.6,True,2,12,105,1,2,16L
1.4,True,2,12,105,1,2,16L
1.2,True,2,12,105,1,2,16L
1.0,True,407,12,105,1,2,16L
0.8,True,497,12,105,1,2,16L
0.6,True,497,12,105,1,2,16L
0.4,True,497,12,105,1,2,16L
0.2,True,555,12,105,1,2,16L
0.0,True,778,12,105,1,2,16L
-0.2,True,778,12,105,1,2,16L
-0.4,True,778,12,105,1,2,16L
-0.6,True,778,12,105,1,2,16L
-0.8,True,778,12,105,1,2,16L
-1.0,True,778,12,105,1,2,16L
-1.2,True,876,12,105,1,2,16L
-1.4,True,876,12,105,1,2,16L
-1.6,True,879,12,105,1,2,16L
-1.8,True,1057,12,105,1,2,16L
-2.0,True,1057,12,105,1,2,16L
-2.2,True,1057,12,105,1,2,16L
-2.4,True,1057,12,105,1,2,16L
-2.6,True,1057,12,105,1,2,16L
-2.8,True,1277,12,105,1,2,16L
-3.0,True,1277,12,105,1,2,16L
-3.2,True,1277,12,105,1,2,16L
-3.4,True,1277,12,105,1,2,16L
-3.6,True,1277,12,105,1,2,16L
-3.8,True,1277,12,105,1,2,16L
-4.0,True,1277,12,105,1,2,16L
-4.2,True,1277,12,105,1,2,16L
-4.4,True,1589,12,105,1,2,16L
