problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f01-d02-t-0.2,103.474,38.8,155.68,50.648,235.476,67.512,6.436,10.672,4.848,27.904
f01-d02-t-0.4,122.622,45.834,184.476,59.52,271.852,80.948,6.562,11.232,4.904,32.312
f01-d02-t-0.6,147.526,53.968,228.31,71.942,329.16,96.484,6.646,11.602,4.936,38.076
f01-d02-t-0.8,174.558,62.348,278.352,85.372,410.814,113.562,6.766,12.006,4.976,43.758
f01-d02-t-1.0,204.832,72.352,333.082,100.212,498.258,132.15,6.82,12.334,4.992,50.354
f01-d02-t-1.2,234.342,81.724,388.75,115.116,598.272,153.354,6.844,12.712,4.992,56.512
f01-d02-t-1.4,264.112,90.444,446.302,129.078,715.97,174.31,6.886,12.976,4.992,63.05
f01-d02-t-1.6,292.35,99.736,497.956,142.642,837.63,194.542,6.922,13.182,4.992,69.702
f01-d02-t-1.8,319.066,108.82,555.452,156.82,963.018,212.16,6.946,13.424,4.992,76.546
f01-d02-t-2.0,346.968,117.608,614.242,171.35,1078.748,226.366,6.958,13.644,4.992,83.252
f01-d02-t-2.2,376.332,125.936,664.984,185.456,1193.548,244.11,6.97,13.746,5.0,89.244
f01-d02-t-2.4,404.524,135.228,715.554,198.788,1297.258,259.394,6.976,13.816,5.0,95.95
f01-d02-t-2.6,432.134,144.504,771.15,209.05,1385.196,277.514,6.982,13.858,5.0,102.108
f01-d02-t-2.8,460.928,152.844,826.688,222.754,1499.124,295.44,6.994,13.936,5.0,108.288
f01-d02-t-3.0,488.244,162.126,882.79,233.706,1613.602,312.162,6.994,13.986,5.0,114.002
f01-d02-t-3.2,513.504,170.476,941.932,247.474,1726.26,328.806,6.994,14.024,5.0,120.876
f01-d02-t-3.4,538.412,178.108,991.062,258.752,1821.568,346.64,6.994,14.062,5.0,126.938
f01-d02-t-3.6,565.548,187.87,1043.888,274.024,1911.67,363.734,6.994,14.074,5.0,132.55
f01-d02-t-3.8,596.36,196.338,1090.608,285.664,2018.788,381.652,6.994,14.076,5.0,138.954
f01-d02-t-4.0,625.39,204.278,1141.14,297.458,2123.506,399.526,6.994,14.086,5.0,145.232
f01-d02-t-4.2,651.046,212.244,1201.172,311.562,2232.812,416.734,6.994,14.1,5.0,151.462
f01-d02-t-4.4,677.708,221.574,1256.244,324.772,2333.56,433.504,7.0,14.108,5.0,158.42
f01-d02-t-4.6,705.622,229.496,1312.066,340.196,2444.884,450.234,7.0,14.112,5.0,164.23
f01-d02-t-4.8,733.974,237.978,1367.89,351.97,2556.312,465.88,7.0,14.112,5.0,171.772
f01-d02-t-5.0,758.596,245.874,1427.33,366.11,2661.986,482.198,7.0,14.286,5.0,178.05
f01-d02-t-5.2,785.772,254.328,1479.664,379.364,2762.114,498.846,7.0,14.374,5.0,184.344
f01-d02-t-5.4,814.942,262.198,1529.934,389.356,2872.916,515.658,7.0,14.484,5.0,189.882
f01-d02-t-5.6,841.394,271.562,1584.34,401.994,2981.74,532.022,7.0,14.506,5.0,196.03
f01-d02-t-5.8,872.67,280.004,1645.64,415.042,3079.022,547.62,7.0,14.506,5.0,202.882
f01-d02-t-6.0,901.916,288.5,1704.648,429.716,3183.348,563.554,7.0,14.616,5.0,208.742
f01-d02-t-6.2,928.894,298.254,1756.186,443.046,3288.446,580.024,7.0,14.616,5.0,214.28
f01-d02-t-6.4,954.106,308.442,1809.056,457.236,3382.262,596.842,7.0,14.616,5.0,221.272
f01-d02-t-6.6,980.016,317.298,1865.786,469.308,3491.436,614.166,7.0,14.616,5.0,227.05
f01-d02-t-6.8,1012.818,325.178,1917.088,480.03,3607.126,629.6,7.0,14.7,5.0,234.006
f01-d02-t-7.0,1041.216,333.392,1973.9,492.96,3716.066,645.732,7.0,14.7,5.0,240.002
f01-d02-t-7.2,1070.81,340.878,2034.79,505.892,3827.09,660.672,7.0,14.7,5.0,245.924
f01-d02-t-7.4,1096.158,349.046,2093.116,519.82,3944.154,678.862,7.0,14.7,5.0,252.196
f01-d02-t-7.6,1122.274,358.162,2146.816,532.812,4052.61,698.678,7.0,14.7,5.0,258.102
f01-d02-t-7.8,1151.14,366.528,2203.652,544.954,4163.11,714.628,7.0,14.7,5.0,264.01
f01-d02-t-8.0,1179.84,375.384,2258.942,560.508,4301.148,729.08,7.0,14.7,5.0,270.192
f01-d02-t0.0,81.474,31.204,124.782,39.504,189.914,52.448,6.298,10.218,4.792,23.222
f01-d02-t0.2,65.746,24.792,102.124,31.928,158.012,43.326,6.058,9.544,4.68,19.392
f01-d02-t0.4,52.908,19.712,83.67,26.242,130.29,35.072,5.776,8.716,4.568,15.914
f01-d02-t0.6,43.104,15.568,67.042,21.064,102.884,28.942,5.314,7.592,4.272,12.654
f01-d02-t0.8,32.862,12.734,49.656,16.586,75.518,22.844,4.486,6.18,3.872,10.428
f01-d02-t1.0,22.79,9.384,33.988,12.206,51.126,16.292,3.232,4.488,3.248,8.17
f01-d02-t1.2,15.796,6.772,22.574,8.666,32.842,11.466,1.888,1.808,2.032,6.056
f01-d02-t1.4,9.008,4.502,11.618,5.538,14.836,6.976,1.108,1.088,1.144,4.196
f01-d02-t1.6,4.036,2.792,4.534,3.178,5.092,3.632,1.0,1.0,1.0,2.652
f01-d02-t1.8,1.696,1.572,1.696,1.622,1.696,1.678,1.0,1.0,1.0,1.582
f01-d02-t2.0,1.084,1.084,1.084,1.084,1.084,1.084,1.0,1.0,1.0,1.08
f02-d02-t-0.2,685.246,421.482,1231.12,437.62,2123.02,459.816,66.166,31.738,24.636,391.22
