problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f01-d10-t-0.2,2510.336,514.318,3559.538,876.212,5272.574,1590.38,23.0,77.826,13.0,318.66
f01-d10-t-0.4,2717.214,558.58,3850.626,943.972,5696.468,1720.056,23.0,78.394,13.0,349.702
f01-d10-t-0.6,2909.766,601.396,4147.322,1014.652,6111.52,1840.14,23.0,78.86,13.0,380.188
f01-d10-t-0.8,3114.0,645.682,4422.568,1084.232,6509.408,1979.874,23.0,79.1,13.0,409.476
f01-d10-t-1.0,3320.302,692.792,4721.452,1152.052,6896.188,2108.106,23.0,79.32,13.0,440.092
f01-d10-t-1.2,3521.052,735.276,4989.124,1224.36,7283.998,2243.304,23.0,79.594,13.0,470.174
f01-d10-t-1.4,3732.442,778.676,5268.07,1289.792,7714.652,2374.218,23.0,79.722,13.0,499.952
f01-d10-t-1.6,3944.896,825.014,5559.68,1361.298,8118.324,2499.242,23.0,79.978,13.0,530.216
f01-d10-t-1.8,4145.93,869.48,5829.542,1430.154,8515.92,2629.464,23.0,80.164,13.0,561.72
f01-d10-t-2.0,4352.928,913.708,6115.124,1499.366,8922.856,2755.068,23.0,80.334,13.0,591.382
f01-d10-t-2.2,4552.842,957.966,6413.042,1566.716,9305.464,2883.756,23.0,80.49,13.0,620.878
f01-d10-t-2.4,4765.962,1001.43,6682.76,1644.114,9698.562,3016.86,23.0,80.668,13.0,649.692
f01-d10-t-2.6,4974.98,1044.754,6953.646,1711.892,10096.74,3146.412,23.0,80.726,13.0,679.014
f01-d10-t-2.8,5168.19,1089.182,7248.32,1779.634,10494.952,3277.018,23.0,80.76,13.0,709.262
f01-d10-t-3.0,5364.882,1133.972,7539.416,1852.098,10901.132,3409.044,23.0,80.774,13.0,739.52
f01-d10-t-3.2,5583.732,1179.172,7826.186,1920.86,11322.602,3537.85,23.0,80.854,13.0,769.358
f01-d10-t-3.4,5789.692,1224.974,8103.26,1991.816,11736.016,3667.984,23.0,80.876,13.0,801.426
f01-d10-t-3.6,5996.072,1270.586,8387.604,2060.912,12146.566,3798.498,23.0,80.892,13.0,831.186
f01-d10-t-3.8,6200.736,1313.558,8670.182,2134.19,12543.01,3924.722,23.0,80.896,13.0,860.372
f01-d10-t-4.0,6410.984,1360.892,8949.758,2200.986,12955.004,4064.402,23.0,80.94,13.0,890.184
f01-d10-t-4.2,6604.444,1404.06,9230.206,2265.53,13348.436,4194.65,23.0,81.266,13.0,920.064
f01-d10-t-4.4,6812.62,1445.226,9512.904,2337.464,13745.93,4322.376,23.0,82.258,13.0,948.918
f01-d10-t-4.6,7003.848,1492.656,9786.982,2409.972,14134.272,4449.636,23.0,83.706,13.0,978.298
f01-d10-t-4.8,7203.104,1539.174,10070.884,2480.09,14533.176,4572.562,23.0,85.348,13.0,1010.424
f01-d10-t-5.0,7426.498,1582.022,10347.08,2548.464,14936.152,4704.274,23.0,86.064,13.0,1040.524
f01-d10-t-5.2,7627.726,1625.704,10659.764,2618.756,15327.24,4835.614,23.0,87.718,13.0,1071.398
f01-d10-t-5.4,7835.912,1670.236,10936.954,2689.042,15752.074,4964.006,23.0,89.08,13.0,1099.93
f01-d10-t-5.6,8040.764,1714.378,11213.2,2759.446,16150.428,5098.296,23.0,90.566,13.0,1131.58
f01-d10-t-5.8,8241.002,1758.126,11510.884,2829.468,16549.492,5222.862,23.0,90.566,13.0,1159.392
f01-d10-t-6.0,8462.118,1805.026,11787.198,2898.412,16949.742,5353.142,23.0,92.412,13.0,1192.95
f01-d10-t-6.2,8662.2,1851.708,12072.322,2970.252,17376.564,5479.32,23.0,94.122,13.0,1222.266
f01-d10-t-6.4,8847.752,1892.662,12354.218,3038.606,17764.922,5608.368,23.0,94.122,13.0,1253.246
f01-d10-t-6.6,9054.052,1940.332,12641.41,3112.132,18167.322,5741.012,23.0,94.122,13.0,1281.614
f01-d10-t-6.8,9264.542,1984.498,12928.904,3183.388,18567.788,5875.826,23.0,94.902,13.0,1311.29
f01-d10-t-7.0,9476.152,2026.618,13216.164,3252.434,18975.354,6006.758,23.0,94.902,13.0,1340.386
f01-d10-t-7.2,9681.404,2072.838,13494.494,3322.014,19369.758,6137.278,23.0,94.902,13.0,1371.666
f01-d10-t-7.4,9882.342,2117.386,13771.336,3393.46,19775.228,6263.95,23.0,94.902,13.0,1400.5
f01-d10-t-7.6,10096.084,2164.294,14052.864,3459.918,20176.466,6395.284,23.088,95.828,13.0,1430.87
f01-d10-t-7.8,10294.304,2209.054,14335.634,3527.89,20591.068,6517.438,23.176,96.386,13.0,1461.896
f01-d10-t-8.0,10504.442,2252.808,14603.544,3603.346,21001.238,6650.27,23.374,96.386,13.0,1492.754
f01-d10-t0.0,2296.414,469.97,3276.058,803.986,4902.998,1459.03,23.0,77.056,13.0,289.516
f01-d10-t0.2,2094.868,424.534,3003.568,734.304,4497.016,1332.212,23.0,75.816,13.0,261.774
f01-d10-t0.4,1886.004,379.958,2718.632,662.814,4095.8,1200.326,23.0,74.422,13.0,231.528
f01-d10-t0.6,1671.484,335.83,2430.752,593.588,3653.59,1064.472,23.0,72.274,13.0,200.086
f01-d10-t0.8,1456.622,290.276,2146.384,528.262,3234.194,939.982,23.0,68.956,13.0,168.814
f01-d10-t1.0,1244.366,242.85,1824.61,454.332,2783.354,814.3,22.978,64.044,13.0,137.044
f01-d10-t1.2,988.2,187.032,1435.062,364.52,2054.684,650.868,22.714,53.846,12.976,102.334
f01-d10-t1.4,655.178,120.408,871.77,259.758,1200.48,460.674,21.24,39.262,12.712,69.446
f01-d10-t1.6,319.636,70.218,415.992,143.194,628.682,229.342,14.596,19.308,10.576,45.448
f01-d10-t1.8,133.248,37.346,199.158,61.534,312.334,97.018,3.97,3.514,3.76,27.45
f01-d10-t2.0,47.92,17.474,68.098,24.594,98.232,34.27,1.0,1.0,1.0,13.364
f02-d10-t-0.2,7883.964,4894.802,10119.48,5336.356,14004.794,6312.834,3461.64,203.398,290.82,4699.266
f02-d10-t-0.4,8097.134,4997.786,10397.778,5454.08,14412.338,6462.202,3766.022,204.83,295.462,4775.044
f02-d10-t-0.6,8293.094,5066.288,10692.848,5546.876,14811.978,6594.86,3983.092,205.79,300.148,4835.884
f02-d10-t-0.8,8504.204,5136.24,10986.146,5645.288,15248.674,6728.81,4142.898,206.542,305.052,4886.422
f02-d10-t-1.0,8702.77,5202.4,11275.896,5730.048,15636.648,6875.734,4323.318,206.924,309.828,4934.594
f02-d10-t-1.2,8909.564,5262.472,11556.956,5811.572,16031.004,7014.464,4477.714,207.35,315.476,4975.52
f02-d10-t-1.4,9125.94,5319.588,11850.466,5896.506,16446.354,7148.136,4590.662,208.234,320.372,5019.854
f02-d10-t-1.6,9341.844,5372.804,12143.532,5970.858,16877.976,7278.748,4742.592,208.574,325.134,5060.064
f02-d10-t-1.8,9544.276,5428.304,12413.686,6050.376,17244.688,7407.826,4916.834,208.954,330.434,5099.566
f02-d10-t-2.0,9747.462,5479.374,12712.108,6127.06,17661.854,7543.598,5042.222,209.802,335.026,5139.716
f02-d10-t-2.2,9960.462,5533.274,13006.574,6203.25,18067.23,7678.072,5184.38,210.708,339.98,5175.66
f02-d10-t-2.4,10166.574,5584.278,13270.49,6280.296,18491.798,7803.894,5335.086,210.974,345.602,5214.244
f02-d10-t-2.6,10381.998,5632.748,13549.102,6351.242,18872.912,7937.808,5455.064,213.008,350.162,5244.622
f02-d10-t-2.8,10584.628,5682.492,13849.398,6421.722,19269.34,8064.5,5558.976,214.034,354.868,5279.482
f02-d10-t-3.0,10785.418,5729.898,14133.418,6496.246,19694.124,8196.932,5678.058,219.152,359.97,5312.852
f02-d10-t-3.2,10998.384,5776.568,14430.288,6566.268,20088.426,8329.112,5788.692,227.518,365.528,5344.852
f02-d10-t-3.4,11204.918,5821.056,14713.634,6637.614,20503.304,8456.758,5874.986,235.978,369.738,5374.726
f02-d10-t-3.6,11411.858,5871.568,15006.072,6708.176,20917.148,8595.276,5956.946,248.082,374.708,5408.926
f02-d10-t-3.8,11622.972,5918.012,15274.668,6779.696,21297.758,8719.882,6036.032,261.384,379.696,5440.494
f02-d10-t-4.0,11825.658,5961.202,15560.396,6851.86,21710.48,8851.358,6090.428,272.792,384.58,5471.76
f02-d10-t-4.2,12037.034,6007.978,15848.914,6922.988,22109.994,8983.678,6140.622,285.292,389.288,5504.336
f02-d10-t-4.4,12241.4,6055.692,16131.826,6989.65,22506.646,9105.46,6182.664,298.344,394.028,5535.592
f02-d10-t-4.6,12455.202,6104.932,16399.072,7057.896,22899.792,9234.652,6214.09,307.888,399.24,5566.23
f02-d10-t-4.8,12646.158,6144.726,16696.41,7129.578,23323.66,9364.592,6237.472,316.696,404.234,5597.382
f02-d10-t-5.0,12862.54,6190.188,16997.662,7198.85,23722.918,9498.954,6255.39,323.664,408.97,5629.252
f02-d10-t-5.2,13064.344,6233.75,17288.072,7273.492,24112.444,9630.98,6267.588,328.266,413.73,5659.29
f02-d10-t-5.4,13270.584,6279.684,17571.286,7340.588,24544.628,9767.45,6274.466,332.95,418.802,5690.854
f02-d10-t-5.6,13488.622,6324.744,17849.138,7418.128,24955.632,9898.432,6281.466,336.336,422.92,5722.796
f02-d10-t-5.8,13694.974,6371.63,18120.29,7484.68,25344.352,10020.434,6286.254,338.21,426.916,5754.634
f02-d10-t-6.0,13886.82,6415.978,18421.308,7554.294,25761.578,10151.31,6289.282,340.024,429.902,5786.964
f02-d10-t-6.2,14098.196,6461.372,18706.238,7623.938,26189.854,10290.704,6290.572,341.666,432.606,5816.724
f02-d10-t-6.4,14309.556,6506.736,18992.136,7691.896,26566.36,10420.766,6291.82,343.344,434.164,5848.892
f02-d10-t-6.6,14511.166,6550.814,19277.176,7762.36,26982.118,10557.626,6293.082,344.636,435.43,5878.744
f02-d10-t-6.8,14723.4,6595.248,19552.372,7830.85,27379.798,10684.738,6293.632,345.338,436.222,5912.272
f02-d10-t-7.0,14925.666,6641.646,19833.802,7903.154,27782.626,10816.718,6293.828,346.222,436.362,5940.834
f02-d10-t-7.2,15134.462,6686.864,20139.244,7975.208,28180.238,10951.816,6294.046,346.638,436.462,5972.89
f02-d10-t-7.4,15337.576,6731.024,20421.39,8042.71,28591.078,11085.526,6294.046,347.312,436.482,6002.934
f02-d10-t-7.6,15542.742,6775.098,20691.61,8115.444,28989.724,11205.16,6294.046,347.738,436.482,6032.814
f02-d10-t-7.8,15758.664,6820.144,20968.092,8191.248,29393.336,11339.316,6294.046,348.038,436.482,6063.252
f02-d10-t-8.0,15949.316,6868.66,21255.83,8256.646,29803.454,11475.212,6294.046,348.666,436.482,6094.612
f02-d10-t0.0,7660.308,4812.224,9831.458,5226.266,13577.094,6170.77,3249.384,201.494,286.098,4631.464
f02-d10-t0.2,7439.614,4729.018,9544.954,5116.758,13177.494,6006.322,3062.01,199.42,281.56,4569.33
f02-d10-t0.4,7226.798,4600.218,9264.114,4982.432,12754.732,5840.61,2724.446,195.436,276.35,4457.514
f02-d10-t0.6,7003.516,4477.336,8946.048,4837.016,12330.83,5670.888,2406.678,188.734,271.6,4349.826
