problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f02-d05-t-1.2,2867.524,1728.652,4268.378,1953.314,8074.622,2327.148,487.418,99.376,100.78,1631.802
f02-d05-t-1.4,2943.626,1753.86,4385.162,1991.266,8300.68,2385.74,495.706,100.846,103.0,1651.824
f02-d05-t-1.6,3013.096,1776.594,4494.922,2028.108,8516.43,2437.446,503.566,102.278,104.968,1668.524
f02-d05-t-1.8,3083.936,1800.276,4609.622,2065.966,8725.186,2494.208,510.68,103.026,107.06,1688.408
f02-d05-t-2.0,3164.288,1824.356,4720.794,2099.812,8961.578,2549.164,517.13,104.47,109.16,1705.102
f02-d05-t-2.2,3227.702,1847.164,4840.162,2137.994,9200.162,2602.486,523.764,105.498,111.238,1720.06
f02-d05-t-2.4,3310.694,1871.528,4947.944,2175.272,9412.188,2650.366,529.674,106.428,113.284,1740.964
f02-d05-t-2.6,3373.118,1895.148,5064.244,2212.636,9622.69,2708.22,535.312,107.206,115.246,1757.142
f02-d05-t-2.8,3448.012,1916.97,5175.616,2250.63,9859.908,2768.054,540.638,108.27,117.366,1774.944
f02-d05-t-3.0,3529.646,1938.906,5291.666,2285.888,10088.534,2816.8,545.234,110.11,119.478,1793.61
f02-d05-t-3.2,3607.864,1962.758,5406.404,2322.866,10293.45,2872.004,550.37,112.134,121.584,1811.434
f02-d05-t-3.4,3682.374,1985.776,5527.064,2357.5,10518.186,2930.894,555.312,114.91,123.612,1827.286
f02-d05-t-3.6,3754.21,2009.136,5627.932,2389.398,10738.504,2982.424,560.314,118.258,125.406,1843.394
f02-d05-t-3.8,3820.284,2030.732,5738.138,2421.91,10958.802,3037.686,565.486,120.534,127.41,1858.814
f02-d05-t-4.0,3894.378,2053.234,5846.724,2458.526,11188.55,3088.836,570.292,123.162,129.118,1873.588
f02-d05-t-4.2,3974.152,2075.246,5959.914,2493.04,11425.716,3148.032,574.578,126.772,131.064,1890.26
f02-d05-t-4.4,4041.026,2097.768,6086.674,2528.038,11625.236,3206.596,579.066,129.816,133.208,1907.364
f02-d05-t-4.6,4122.158,2120.93,6198.642,2564.38,11852.04,3259.716,583.852,135.81,135.306,1924.644
f02-d05-t-4.8,4196.172,2144.116,6309.416,2596.598,12069.426,3313.362,588.47,140.442,137.218,1939.254
f02-d05-t-5.0,4264.628,2164.692,6413.546,2631.524,12288.556,3372.188,592.902,144.352,139.11,1953.812
f02-d05-t-5.2,4337.286,2187.044,6534.088,2667.488,12508.186,3419.128,596.764,149.202,141.466,1969.806
f02-d05-t-5.4,4411.224,2210.74,6643.87,2705.864,12722.95,3480.65,600.864,152.904,143.488,1987.462
f02-d05-t-5.6,4483.362,2231.384,6751.362,2738.15,12934.918,3532.084,604.554,156.548,145.194,2003.146
f02-d05-t-5.8,4557.018,2253.218,6863.788,2770.894,13159.04,3583.764,608.134,158.276,147.022,2017.29
f02-d05-t-6.0,4632.54,2275.848,6983.844,2808.162,13387.966,3643.972,611.494,161.054,148.32,2034.434
f02-d05-t-6.2,4701.15,2297.792,7098.55,2848.144,13611.884,3697.656,614.122,163.316,149.522,2051.878
f02-d05-t-6.4,4772.728,2320.502,7220.168,2882.542,13819.888,3750.814,616.872,165.206,150.566,2067.332
f02-d05-t-6.6,4855.008,2341.742,7332.188,2919.814,14038.42,3807.182,619.018,166.734,151.192,2083.584
f02-d05-t-6.8,4932.274,2364.744,7443.412,2956.614,14288.964,3864.832,620.926,168.014,151.71,2099.696
f02-d05-t-7.0,5000.272,2386.298,7562.85,2989.41,14498.326,3914.9,622.328,169.786,151.966,2115.34
f02-d05-t-7.2,5079.118,2408.838,7662.968,3023.146,14714.666,3968.02,624.08,170.948,152.194,2131.88
f02-d05-t-7.4,5152.684,2432.084,7779.496,3059.404,14943.276,4021.814,625.17,172.19,152.274,2147.064
f02-d05-t-7.6,5219.208,2453.792,7903.02,3095.198,15163.692,4074.016,625.958,172.854,152.314,2162.614
f02-d05-t-7.8,5298.362,2475.142,8007.588,3127.788,15376.768,4127.728,626.652,173.578,152.344,2177.508
f02-d05-t-8.0,5371.196,2496.97,8108.758,3164.084,15610.722,4184.226,627.256,174.318,152.354,2194.116
f02-d05-t0.0,2392.416,1534.736,3524.198,1694.254,6676.932,1969.256,411.976,89.18,88.998,1459.606
f02-d05-t0.2,2304.6,1504.458,3403.864,1649.232,6431.896,1906.674,396.736,86.04,87.256,1433.332
f02-d05-t0.4,2216.474,1458.58,3265.942,1599.27,6189.912,1841.274,370.6,82.192,85.304,1385.354
f02-d05-t0.6,2130.924,1408.466,3138.978,1542.276,5935.778,1769.216,351.34,79.522,83.338,1339.388
f02-d05-t0.8,2046.33,1356.704,3003.258,1480.398,5651.558,1704.378,325.012,75.416,81.638,1290.568
f02-d05-t1.0,1955.344,1287.744,2874.198,1408.408,5372.834,1625.514,290.068,69.832,79.494,1228.566
f02-d05-t1.2,1862.63,1218.78,2736.04,1338.672,5110.346,1543.95,256.936,66.814,77.522,1166.838
f02-d05-t1.4,1776.508,1133.184,2592.892,1252.824,4848.57,1461.238,240.412,63.774,75.356,1087.864
f02-d05-t1.6,1677.904,1042.658,2451.36,1172.54,4586.23,1372.942,228.124,56.928,73.184,1005.538
f02-d05-t1.8,1589.988,975.604,2298.69,1092.842,4324.186,1289.63,215.944,54.842,71.58,941.358
f02-d05-t2.0,1492.85,891.948,2163.998,1009.618,4038.162,1206.06,198.4,52.608,69.864,839.386
f03-d05-t-0.2,9539.618,2693.028,17235.69,4417.028,40920.474,6730.41,148.032,246.736,126.366,1823.408
f03-d05-t-0.4,9627.56,2694.288,17528.94,4418.668,41522.186,6744.458,148.032,246.884,126.366,1823.446
f03-d05-t-0.6,9651.928,2695.246,17654.576,4419.972,42024.64,6750.612,148.032,246.884,126.366,1823.926
f03-d05-t-0.8,9684.002,2696.022,17777.972,4421.806,42275.27,6757.198,148.032,246.884,126.366,1824.14
f03-d05-t-1.0,9719.942,2696.536,17837.558,4423.68,42388.612,6763.41,148.032,246.884,126.366,1824.424
f03-d05-t-1.2,9736.906,2697.028,17924.936,4424.664,42424.942,6768.952,148.032,246.884,126.366,1824.514
f03-d05-t-1.4,9747.298,2697.782,17966.456,4426.372,42508.802,6771.22,148.032,246.888,126.366,1824.754
