% Artificial instance
% algorithm type = best
1 3.981071705534973e+02 3.981071705534973e+02 default 15 15
2 2.511886431509580e+02 2.511886431509580e+02 default 15 15
3 1.584893192461114e+02 1.584893192461114e+02 2L 15 15
13 1.000000000000000e+02 1.000000000000000e+02 8L 15 15
43 6.309573444801933e+01 6.309573444801933e+01 Powell 15 15
48 3.981071705534973e+01 3.981071705534973e+01 Powell 15 15
72 2.511886431509580e+01 2.511886431509580e+01 Powell 15 15
167 1.584893192461113e+01 1.584893192461113e+01 Powell 15 15
463 1.000000000000000e+01 1.000000000000000e+01 Powell 15 15
834 6.309573444801933e+00 6.309573444801933e+00 Powell 15 15
1217 3.981071705534972e+00 3.981071705534972e+00 Powell 15 15
2124 2.511886431509580e+00 2.511886431509580e+00 Powell 15 15
5262 1.584893192461114e+00 1.584893192461114e+00 Powell 15 15
5313 1.000000000000000e+00 1.000000000000000e+00 Powell 15 15
73452 6.309573444801932e-01 6.309573444801932e-01 Powell 15 15
73453 2.511886431509580e-01 2.511886431509580e-01 Powell 15 15
73454 1.584893192461113e-01 1.584893192461113e-01 Powell 15 15
73455 1.000000000000000e-01 1.000000000000000e-01 Powell 15 15
73457 6.309573444801933e-02 6.309573444801933e-02 Powell 15 15
73462 3.981071705534973e-02 3.981071705534973e-02 Powell 15 15
73468 2.511886431509579e-02 2.511886431509579e-02 Powell 15 15
73478 1.584893192461113e-02 1.584893192461113e-02 Powell 15 15
73495 1.000000000000000e-02 1.000000000000000e-02 Powell 15 15
80908 6.309573444801930e-03 6.309573444801930e-03 Powell 15 15
80914 3.981071705534973e-03 3.981071705534973e-03 Powell 15 15
80918 2.511886431509579e-03 2.511886431509579e-03 Powell 15 15
80947 3.981071705534974e-04 3.981071705534974e-04 Powell 15 15
80948 3.981071705534969e-05 3.981071705534969e-05 Powell 15 15
80949 2.511886431509582e-05 2.511886431509582e-05 Powell 15 15
80950 1.584893192461114e-05 1.584893192461114e-05 Powell 15 15
80952 1.000000000000000e-05 1.000000000000000e-05 Powell 15 15
80953 3.981071705534969e-06 3.981071705534969e-06 Powell 15 15
80954 6.309573444801930e-07 6.309573444801930e-07 Powell 15 15
80957 3.981071705534969e-07 3.981071705534969e-07 Powell 15 15
80963 2.511886431509582e-07 2.511886431509582e-07 Powell 15 15
80971 1.584893192461114e-07 1.584893192461114e-07 Powell 15 15
81154 1.000000000000000e-07 1.000000000000000e-07 Powell 15 15
81156 6.309573444801930e-08 6.309573444801930e-08 Powell 15 15
81159 3.981071705534969e-08 3.981071705534969e-08 Powell 15 15
81160 2.511886431509582e-08 2.511886431509582e-08 Powell 15 15
83736 1.584893192461114e-08 1.584893192461114e-08 16L 15 15
83817 1.000000000000000e-08 1.000000000000000e-08 16L 15 15
